CO2,seconds
413,1101.87
415,1102.86
418,1103.85
415,1104.84
415,1105.83
418,1106.82
415,1107.81
418,1108.8
415,1109.79
418,1110.78
422,1111.77
422,1112.76
418,1113.75
418,1114.74
418,1115.73
424,1116.72
418,1117.71
422,1118.7
422,1119.69
418,1120.68
422,1121.67
415,1122.66
418,1123.65
418,1124.64
415,1125.63
418,1126.62
418,1127.61
418,1128.6
418,1129.59
418,1130.58
422,1131.57
418,1132.56
418,1133.55
418,1134.54
418,1135.53
418,1136.52
422,1137.51
413,1138.5
413,1139.49
415,1140.48
415,1141.47
415,1142.46
415,1143.45
413,1144.44
413,1145.43
415,1146.42
415,1147.41
410,1148.4
415,1149.39
415,1150.38
415,1151.37
410,1152.36
415,1153.35
413,1154.34
413,1155.33
410,1156.32
415,1157.31
413,1158.3
415,1159.29
413,1160.28
410,1161.27
410,1162.26
410,1163.25
406,1164.24
410,1165.23
410,1166.22
406,1167.21
403,1168.2
403,1169.19
406,1170.18
403,1171.17
410,1172.16
406,1173.15
403,1174.14
406,1175.13
410,1176.12
410,1177.11
413,1178.1
410,1179.09
413,1180.08
410,1181.07
406,1182.06
403,1183.05
403,1184.04
406,1185.03
406,1186.02
410,1187.01
410,1188
410,1188.99
410,1189.98
410,1190.97
413,1191.96
410,1192.95
406,1193.94
410,1194.93
410,1195.92
410,1196.91
406,1197.9
406,1198.89
403,1199.88
400,1200.87
400,1201.86
403,1202.85
400,1203.84
400,1204.83
400,1205.82
400,1206.81
400,1207.8
403,1208.79
407,1209.78
407,1210.77
403,1211.76
403,1212.75
403,1213.74
403,1214.73
407,1215.72
403,1216.71
403,1217.7
400,1218.69
407,1219.68
403,1220.67
403,1221.66
403,1222.65
407,1223.64
407,1224.63
403,1225.62
407,1226.61
407,1227.6
409,1228.59
407,1229.58
407,1230.57
407,1231.56
407,1232.55
403,1233.54
400,1234.53
400,1235.52
400,1236.51
402,1237.5
402,1238.49
402,1239.48
400,1240.47
400,1241.46
400,1242.45
402,1243.44
400,1244.43
400,1245.42
400,1246.41
400,1247.4
400,1248.39
400,1249.38
403,1250.37
403,1251.36
400,1252.35
403,1253.34
403,1254.33
400,1255.32
400,1256.31
400,1257.3
400,1258.29
400,1259.28
405,1260.27
405,1261.26
405,1262.25
405,1263.24
400,1264.23
400,1265.22
406,1266.21
402,1267.2
406,1268.19
410,1269.18
410,1270.17
406,1271.16
410,1272.15
406,1273.14
406,1274.13
402,1275.12
400,1276.11
402,1277.1
402,1278.09
402,1279.08
402,1280.07
402,1281.06
402,1282.05
402,1283.04
406,1284.03
406,1285.02
406,1286.01
406,1287
406,1287.99
402,1288.98
402,1289.97
400,1290.96
400,1291.95
405,1292.94
402,1293.93
405,1294.92
405,1295.91
400,1296.9
400,1297.89
402,1298.88
400,1299.87
400,1300.86
400,1301.85
402,1302.84
400,1303.83
