CO2,seconds
887,1174.14
887,1175.13
887,1176.12
887,1177.11
897,1178.1
887,1179.09
887,1180.08
907,1181.07
918,1182.06
907,1183.05
940,1184.04
927,1185.03
940,1186.02
940,1187.01
940,1188
927,1188.99
918,1189.98
940,1190.97
918,1191.96
918,1192.95
907,1193.94
897,1194.93
918,1195.92
940,1196.91
927,1197.9
927,1198.89
927,1199.88
949,1200.87
949,1201.86
940,1202.85
949,1203.84
940,1204.83
949,1205.82
940,1206.81
940,1207.8
940,1208.79
940,1209.78
961,1210.77
961,1211.76
949,1212.75
972,1213.74
983,1214.73
983,1215.72
972,1216.71
